               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
42,0.021648,0.0083126,0.00060169,0.94388,0.91087,0.96042,0.75159,0.019881,0.0027973,0.0007873,0.0079705,0.0079705,0.0079705
43,0.023017,0.0087414,0.00067643,0.94836,0.94585,0.97864,0.7905,0.019067,0.0025732,0.00083692,0.007921,0.007921,0.007921
44,0.023495,0.0084,0.00071397,0.94769,0.94727,0.97871,0.7928,0.019392,0.0025416,0.00081054,0.0078715,0.0078715,0.0078715
45,0.022782,0.0085714,0.00056568,0.95453,0.94092,0.97758,0.79904,0.018502,0.0025006,0.00075097,0.007822,0.007822,0.007822
46,0.022025,0.0084059,0.00054485,0.93988,0.94879,0.97509,0.7982,0.017481,0.002574,0.00072755,0.0077725,0.0077725,0.0077725
47,0.022136,0.0082666,0.00055466,0.93483,0.93371,0.96971,0.79919,0.017579,0.0025896,0.00066952,0.007723,0.007723,0.007723
48,0.02211,0.008259,0.00050475,0.96081,0.94491,0.97798,0.81662,0.018889,0.0024622,0.00069808,0.0076735,0.0076735,0.0076735
49,0.021533,0.0083121,0.00057228,0.94544,0.93838,0.97608,0.80617,0.019323,0.0025123,0.00080445,0.007624,0.007624,0.007624
50,0.022854,0.0082847,0.00056601,0.95344,0.94398,0.97902,0.809,0.019695,0.002469,0.00087733,0.0075745,0.0075745,0.0075745
51,0.021748,0.0083262,0.000617,0.95288,0.944,0.97621,0.8034,0.017554,0.0024989,0.00078167,0.007525,0.007525,0.007525
52,0.021132,0.0082172,0.00053796,0.97227,0.94931,0.98097,0.82465,0.015818,0.0023691,0.00070508,0.0074755,0.0074755,0.0074755
53,0.021777,0.0079193,0.00054635,0.94978,0.95238,0.97533,0.8129,0.017407,0.0024161,0.00087028,0.007426,0.007426,0.007426
54,0.020967,0.0081659,0.00053074,0.94082,0.90383,0.9646,0.7978,0.017672,0.0027636,0.00067622,0.0073765,0.0073765,0.0073765
55,0.021491,0.0084995,0.00053142,0.95268,0.93998,0.97671,0.80135,0.017336,0.0025119,0.00063821,0.007327,0.007327,0.007327
56,0.021083,0.008109,0.00051427,0.95791,0.95626,0.98471,0.82407,0.01727,0.0023779,0.00066032,0.0072775,0.0072775,0.0072775
                  57,            0.021441,           0.0080516,            0.000531,             0.96783,             0.93091,              0.9829,             0.82398,            0.017356,           0.0024094,          0.00069308,            0.007228,            0.007228,            0.007228
