               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.017929,           0.0077281,           0.0004588,             0.98068,             0.95985,             0.99096,             0.85698,            0.017486,           0.0021209,          0.00064183,              0.0703,              0.0033,              0.0033
                   1,            0.017872,           0.0075471,          0.00042283,             0.97385,             0.95985,             0.99136,             0.81274,            0.017285,           0.0021219,          0.00055044,            0.039643,           0.0059766,           0.0059766
                   2,            0.019464,           0.0074892,          0.00043755,             0.98019,             0.97001,             0.99254,             0.80755,            0.021662,           0.0021149,          0.00062934,           0.0083266,           0.0079933,           0.0079933
